user_id,home_city,trusted_devices,trusted_browsers,login_time,city,latitude,longitude,device,browser,ip_address,is_suspicious
USER_0001,New York,"iPhone,Android Tablet","Firefox,Chrome",2026-03-24 10:20:26.102165,Singapore,1.3521,103.8198,Android Phone,Chrome,62.235.22.103,0
USER_0001,New York,"iPhone,Android Tablet","Firefox,Chrome",2026-03-24 12:06:12.096836,New York,40.7128,-74.006,Android Tablet,Firefox,104.232.232.82,0
USER_0001,New York,"iPhone,Android Tablet","Firefox,Chrome",2026-03-24 12:33:11.102718,New York,40.7128,-74.006,iPhone,Firefox,26.23.123.174,0
USER_0001,New York,"iPhone,Android Tablet","Firefox,Chrome",2026-03-25 20:09:33.093277,New York,40.7128,-74.006,iPhone,Chrome,117.164.217.77,0
USER_0001,New York,"iPhone,Android Tablet","Firefox,Chrome",2026-03-27 12:31:58.102024,New York,40.7128,-74.006,Android Tablet,Edge,148.63.75.22,0
USER_0001,New York,"iPhone,Android Tablet","Firefox,Chrome",2026-03-27 14:13:32.097776,New York,40.7128,-74.006,Android Tablet,Firefox,107.93.226.149,0
USER_0001,New York,"iPhone,Android Tablet","Firefox,Chrome",2026-03-27 18:36:40.095457,New York,40.7128,-74.006,iPhone,Firefox,65.54.209.161,0
USER_0001,New York,"iPhone,Android Tablet","Firefox,Chrome",2026-03-28 23:21:35.096001,New York,40.7128,-74.006,Android Tablet,Chrome,84.172.202.188,0
USER_0001,New York,"iPhone,Android Tablet","Firefox,Chrome",2026-03-29 07:30:28.099711,New York,40.7128,-74.006,iPhone,Firefox,4.100.101.115,0
USER_0001,New York,"iPhone,Android Tablet","Firefox,Chrome",2026-03-30 13:35:26.102857,New York,40.7128,-74.006,iPhone,Firefox,218.107.213.236,0
USER_0001,New York,"iPhone,Android Tablet","Firefox,Chrome",2026-03-31 11:40:38.099159,New York,40.7128,-74.006,Android Tablet,Chrome,8.42.103.131,0
USER_0001,New York,"iPhone,Android Tablet","Firefox,Chrome",2026-04-01 14:05:40.099847,New York,40.7128,-74.006,Android Tablet,Firefox,173.250.17.85,0
USER_0001,New York,"iPhone,Android Tablet","Firefox,Chrome",2026-04-01 18:46:47.099297,New York,40.7128,-74.006,Android Tablet,Firefox,216.196.152.40,0
USER_0001,New York,"iPhone,Android Tablet","Firefox,Chrome",2026-04-02 13:15:47.095864,New York,40.7128,-74.006,Android Tablet,Firefox,200.11.108.238,0
USER_0001,New York,"iPhone,Android Tablet","Firefox,Chrome",2026-04-03 22:25:21.098613,Singapore,1.3521,103.8198,iPhone,Firefox,84.123.94.200,0
